booking_uuid,auction_corridor_min_price,auction_corridor_max_price,auction_winning_price
c378c601-e63a-48d1-9f66-b39780d8532a,61.39,80.89,57.07
c5f134fd-59ad-4b75-a925-0963cabbe9bd,47.52,64.80,53.00
81bba1e4-12a1-4518-a8cc-87a5b32d934c,61.22,74.22,70.00
9262206b-e0bf-4817-b606-131120886546,52.74,65.76,52.74
9e66cbdd-24c1-4c85-8c12-48fe081f1baf,270.37,297.04,270.37
af9871a4-488a-4f14-ae5e-0cd9e2a4644d,79.19,95.50,108.55
b0a60f7c-35e4-46d5-8798-57b5ec622276,62.50,76.15,104.25
b2e3a1a8-5c29-48fc-85e9-138a514ea9d3,52.32,99.41,88.93
b5381b9a-ab5e-4709-af97-836070bed539,51.26,64.86,51.26
b6787610-613b-4526-be13-bec184d4b1b4,65.73,92.95,121.00
bccaaaf0-af6c-46f0-962c-3a28e391bf33,116.42,166.05,155.15
d8cf0481-bc5d-4694-bd9f-30cdb30255b9,94.63,113.39,94.63
d9a93f94-a9c2-47d9-b238-dbab3707083d,112.66,134.64,125.40
e382bb58-c860-4fbd-8859-411c7fc530ed,56.56,65.23,56.56
fb757c20-390e-40b3-93b3-c50c56da3623,27.14,35.63,27.14
529ae48c-ab8e-446a-af5e-68bc5b10b6b7,67.88,86.15,80.33
56c725d5-7ca1-45a6-befa-e125bfaabd9b,64.25,78.13,56.70
68e0f299-d973-42e4-bf20-033903ae55a3,130.61,190.25,291.10
6cd50634-ef76-4744-93ed-28c28dd464cf,147.49,201.29,147.49
7ef699ff-2655-497a-9057-02d68d4626a6,68.73,87.67,87.63
ab0b8cda-7f50-48a8-b758-6f5eb5b4b057,56.78,64.55,56.78
3e3e328f-b0b3-4589-8f11-15ddd1f16c4f,119.85,137.91,180.19
44c21f29-2142-47dd-a1f7-7fce03e702ba,47.86,59.45,75.00
603787ba-1b94-4394-867a-27680047620a,47.53,57.10,63.00
3c32900b-4b1c-476d-8acc-3651294991fa,82.78,103.11,82.78
445ad4c6-ec67-4f33-a402-e233c38c63e7,94.27,112.85,94.27
44c5af2f-5517-43b1-a986-717e16e96f60,148.81,180.33,179.54
50947729-0c4c-43e0-8bdf-8f025f5438a3,94.70,128.54,94.70
0fb37b06-b11e-4359-ad07-74182994721a,53.77,69.76,65.00
436ca14f-1e43-4746-83c6-983206946390,55.42,73.90,73.87
446110bf-0ad9-4d94-8338-cadf4e2a53d8,84.59,106.89,84.59
4be63220-7751-4939-9f7f-1b1939e53db4,132.11,178.55,173.39
5c4f03a0-79e9-4820-9d9c-6fef43b40167,51.09,63.96,88.00
5d34b82f-8d76-4f99-aaea-77419cba5128,99.85,117.80,99.85
6061706a-65e8-428f-ab69-eef4276f12a3,109.59,156.56,109.59
96a60665-19d0-4daa-93f1-ae79470fa849,80.00,95.00,94.94
9d5f43c0-5588-4ac2-a8a7-890ee7fddc3f,77.11,94.61,77.11
a406e680-3996-4688-9292-1d7d603ddc57,55.40,62.33,158.02
74c953f1-dd1d-466c-9ae3-7e59e24fc5bc,96.24,118.04,96.24
792c6394-c31c-46d4-99fc-b2e5c0896d33,84.33,99.49,84.33
a751e7c6-33fe-41da-9a2f-2ecba2aabc20,361.84,551.13,682.13
ab29c639-b036-477d-9193-c7339025fa81,141.20,183.25,147.03
04cb08fa-599c-4ab2-892f-43a990a39dd7,48.44,56.32,48.44
0c38cec0-58eb-4bfc-bae1-55cd91b978fb,"1,653.33","2,066.67","2,180.58"
3b02ef8a-47bf-44d7-9975-86b54a8bfd81,73.17,90.46,121.12
49ba4eab-32bb-4f87-980f-d45fc4cf41fe,44.19,56.32,51.00
17c84c94-2247-4c3e-b7ac-bb9de2c32cb0,151.92,178.24,151.92
4d3f87c0-d326-4248-9751-4fabc0767786,72.53,88.08,116.14
4e0b78a8-d4e6-446b-86c5-846111fba496,93.12,111.13,93.12
47f399b5-b997-4760-8bd4-0b069d2f2229,72.73,86.13,77.90
51b65323-ce86-4371-88f4-77f38347219d,59.15,72.68,59.15
04e80790-c368-4595-9106-72181e5ce2c3,139.25,159.62,139.25
0b87db71-7ce0-42d7-9fd2-1ceec1f37ba0,52.04,64.48,52.04
0f907eca-97ec-424b-9e41-539cb290760c,78.45,89.12,78.45
16467886-8331-493b-99e8-4aed8d2b02b9,113.86,143.40,145.10
2b9ceb50-a186-4ef4-9c77-7d89033ff41c,63.42,67.90,72.00
b332ee32-8331-4fe4-9113-b62df1da2629,58.23,105.47,58.23
b90d30e2-1d64-436e-a371-b695f12b120b,233.57,310.31,233.57
c1922c1f-7551-4a6b-bbdb-404ba43b0f0e,87.95,148.87,87.95
c6717bde-0ed9-4520-a807-d4596462a695,151.86,176.63,157.09
c6c5b0c9-f556-4c46-80d7-9ec600375cb1,114.02,161.67,154.02
ccb98e81-2fbb-489b-ba0c-725cbddf1036,84.10,105.10,98.00
e5f1f523-e18f-4dbf-a792-49045f5c38e3,61.77,72.48,81.76
eb34f0f2-ef89-4137-b727-6cff305e177c,63.75,81.02,80.94
f5e16796-3768-4e48-a084-c0f6053d5817,175.31,219.72,212.99
cfd25b6e-7054-48f9-8000-492700c19e31,90.45,116.82,110.50
798aa483-f2f9-49b3-a025-def92e52191b,106.20,119.96,106.20
7d5d33b0-cfd9-43e3-98b4-71bebe511734,59.64,68.40,59.64
