booking_uuid,booker_uuid,chauffeur_uuid,booked_start_at,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,booked_duration,booked_distance,gross_revenue_eur
6bdde1dd-1bcd-49b4-8c98-2eb84699c943,c1cfaf25-f133-5180-98a4-e164dbd80da4,2eaa0ea2-f167-5bc1-8834-16a3e81596fe,2024-10-12 19:25:00,-0.4542,51.4716,-0.9828,51.5458,2457,44223,187.69
70dd2f33-ddcd-411c-b9ba-af773d91e803,09d47d74-62b7-516e-9601-e43af56aef55,9c7cc9aa-2351-5717-a38f-2e67de414c5f,2024-10-12 12:00:00,-1.7331,52.4522,-0.5463,53.2297,6755,138929,343.89
71015829-557c-4d25-90bd-2030d3372479,35ac6be5-4430-574f-9319-eb9f79805427,a38b7399-013f-5998-b8df-8017b2da20c9,2024-10-12 20:40:00,-122.3016,47.4435,-122.1789,47.6679,1598,34160,152.87
00c1da33-e6a0-440a-aad7-673917625d66,ad0c813e-1117-57af-a8f1-367e8b763c51,c17c38c4-9aca-5cb3-80b6-590d3a2b3aaf,2024-10-12 4:00:00,13.3885,52.5216,13.5084,52.3638,2502,25819,110.44
0fb37b06-b11e-4359-ad07-74182994721a,d624b8b6-2f80-58c1-9636-89870ae0c05c,4605090d-5c68-5e92-98bc-517838f21133,2024-10-12 7:00:00,11.5993,48.1531,11.7869,48.3549,1726,32069,96.94
1929bac6-d6b0-4dc0-a422-cf8a35f08787,47c1e1db-264b-52ec-8cf8-14b10de1eaad,0de477ff-e0c3-51a7-bd16-88a0e1dce69d,2024-10-12 9:00:00,103.8916,1.3585,103.9901,1.3611,1568,16646,44.62
3e3e328f-b0b3-4589-8f11-15ddd1f16c4f,a04b7c86-e694-5994-b8e6-26a71383ced7,62b903f3-e032-54a2-b544-c80afadd040a,2024-10-12 10:30:00,-117.6079,33.4180,-118.4091,33.9438,4142,108710,159.99
44c21f29-2142-47dd-a1f7-7fce03e702ba,b89c5449-4678-5382-a7e3-2899b516dc25,f5658fbb-a52e-59de-a7ac-4451ed02ef2e,2024-10-12 5:25:00,4.8726,52.3408,4.7683,52.3105,1178,16116,80.98
603787ba-1b94-4394-867a-27680047620a,542eb80c-e9c4-5619-94a3-afb219843102,1bafe4b9-849f-5b24-b406-5d1ef05b6d2e,2024-10-12 21:00:00,-71.0201,42.3695,-71.0864,42.3633,734,7271,163.28
b9f811d4-799f-4231-9a4d-a579687ae341,43255052-64c1-5d2a-ad6f-cf49dfa84001,2db8e9cb-c6a9-5119-9ca1-0ec52c961cec,2024-10-12 7:10:00,-0.4542,51.4716,-0.0753,51.5129,3735,31314,158.98
c279bd00-c231-4334-8dc0-879a885c444c,80e1c87d-7a6f-59d8-9e6a-20dc54df5ad4,3e73ab8e-131c-5ae0-8f38-6aa48f138005,2024-10-12 20:15:00,-0.4542,51.4716,-0.2059,51.4103,3155,30783,221.59
ce267dc4-2741-403f-a635-c3beb010f045,b5768a00-34f3-5f8b-a0b9-2120c387b628,13059693-0f01-543b-816b-e5ec50d20265,2024-10-12 22:40:00,174.7828,-37.0047,174.6946,-36.9040,1233,19101,72.39
eba6cd2b-8408-448d-ae66-1453724b429a,87d95865-b60c-5802-8610-60a01ba8c57b,ca4b3a97-55c3-54f1-b847-afa58fef63fc,2024-10-12 8:00:00,2.5838,49.0045,2.3286,48.8495,3279,41557,191.25
